"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.8199840273201e-08,0.533951896003911,0.383,0.292,0.000798152609506679,"0","PPA1"
5.88067083550041e-08,0.573406036974543,0.434,0.337,0.000806475198380526,"0","BTG2"
7.02661290310183e-08,0.625732974558927,0.4,0.302,0.000963629693531385,"0","RSL1D1"
8.27921304886512e-08,0.374999087879706,0.415,0.317,0.00113541127752136,"0","CYTIP"
1.38558131891755e-07,0.40440769777458,0.63,0.547,0.00190018622076353,"0","SNRPD2"
1.47748673388442e-07,0.58325373077465,0.436,0.354,0.00202622530684909,"0","EIF3E"
2.42485148112426e-07,0.669925260937218,0.308,0.223,0.00332544132121381,"0","EEF1G"
5.50209142585415e-07,0.45939055535856,0.468,0.388,0.00754556818141639,"0","UXT"
1.33957019000273e-06,0.659284981081881,0.272,0.187,0.0183708655856974,"0","SPOCK2"
1.97629636209615e-06,0.681358176342203,0.387,0.305,0.0271029283097866,"0","CCDC109B"
3.82742750977848e-06,0.339599399124786,0.592,0.525,0.0524893408691021,"0","RPL41"
3.9322046373045e-06,0.254319417584643,0.912,0.891,0.0539262543959938,"0","BTF3"
1.54808288483653e-05,0.507898320538782,0.429,0.358,0.212304086826482,"0","MZT2B"
1.96620594894768e-05,0.322315890677324,0.383,0.295,0.269645483838685,"0","STK17A"
2.33933378819254e-05,0.479056525236376,0.263,0.193,0.320816235712725,"0","EIF2S3"
3.31894674218088e-05,0.281339431332956,0.195,0.28,0.455160356222686,"0","NDUFA2"
4.02776641151382e-05,0.470819704943644,0.483,0.419,0.552367885675006,"0","CUTA"
4.40469125321274e-05,0.600790403831595,0.324,0.257,0.604059358465596,"0","RPL39"
6.44690070056821e-05,0.578079762578836,0.277,0.212,0.884127962075925,"0","CITED2"
7.95455622721714e-05,0.764106517763156,0.299,0.234,1,"0","SNHG8"
0.000146185734731458,0.339243046677984,0.725,0.654,1,"0","TMA7"
0.000152556135995348,0.400973582313838,0.254,0.19,1,"0","SBDS"
0.000231670185961034,0.33535372149824,0.5,0.445,1,"0","GIMAP4"
0.000269977287041522,0.285963844685576,0.675,0.615,1,"0","CCNI"
0.000387738340433479,0.443327541064377,0.305,0.246,1,"0","MZT2A"
0.000453834052160875,0.462108759042648,0.311,0.257,1,"0","TOMM20"
0.000596042551753636,0.485645543064353,0.353,0.301,1,"0","SON"
0.000753130829097381,0.34126964707625,0.421,0.362,1,"0","CMPK1"
0.000910447216535415,0.402995070119033,0.276,0.218,1,"0","CDC42SE2"
0.00127853862332691,0.438619729580239,0.345,0.293,1,"0","SF1"
0.00234717418708213,0.293984405352297,0.319,0.262,1,"0","ARHGAP15"
0.00239840294389835,0.637692344816147,0.269,0.22,1,"0","SEPT1"
0.00250375765599541,0.290170886914045,0.513,0.483,1,"0","ZFAS1"
0.00327080256796017,0.702599463338908,0.262,0.213,1,"0","MRPS21"
0.0039238376391225,0.320282211442069,0.292,0.236,1,"0","BIN1"
0.00408170402670662,0.556635694846936,0.289,0.246,1,"0","PCNP"
0.00500920633046342,0.265524051969655,0.327,0.28,1,"0","ANKRD12"
0.00648073249304809,0.345908508547549,0.426,0.388,1,"0","NDUFS5"
0.00943834200911273,0.266279795983139,0.335,0.29,1,"0","TBC1D10C"
0,6.66131239974653,0.973,0.121,0,"1","S100A8"
0,5.64634842544058,0.907,0.058,0,"1","LGALS2"
0,4.09802732139502,0.952,0.149,0,"1","FCN1"
0,6.19215547624345,0.996,0.214,0,"1","S100A9"
4.45832356169919e-294,5.97197839905844,0.665,0.027,6.11414493251426e-290,"1","CD14"
8.00779442305506e-286,3.27802564264512,0.994,0.264,1.09818892717777e-281,"1","TYROBP"
6.40300195833937e-279,5.35280075697762,0.685,0.04,8.78107688566661e-275,"1","MS4A6A"
1.03473644306632e-271,3.22657886802499,0.992,0.265,1.41903755802115e-267,"1","CST3"
4.19137259494552e-269,4.75515737000954,1,0.516,5.74804837670829e-265,"1","LYZ"
9.53439354659267e-243,3.1520568206395,0.919,0.221,1.30754673097972e-238,"1","TYMP"
4.24362387154736e-236,3.18516516778686,0.789,0.105,5.81970577744005e-232,"1","CFD"
1.6073112903179e-231,2.27621156866898,0.959,0.222,2.20426670354197e-227,"1","LST1"
3.7301181391067e-230,2.79346276674559,0.979,0.364,5.11548401597092e-226,"1","LGALS1"
1.42409938050288e-229,2.53591886896707,0.959,0.244,1.95300989042165e-225,"1","AIF1"
4.76523329172404e-219,3.64372397057139,0.76,0.127,6.53504093627034e-215,"1","GRN"
2.09834493383009e-218,2.92237042095074,0.944,0.351,2.87767024225458e-214,"1","GSTP1"
1.91804504379069e-217,2.59074700122472,0.923,0.311,2.63040697305455e-213,"1","GPX1"
6.36402772145137e-216,2.63630475996518,1,0.987,8.72762761719841e-212,"1","FTL"
3.71306313829525e-207,2.1203548065249,0.996,0.735,5.0920947878581e-203,"1","S100A6"
5.97218718355058e-202,2.22844257011052,1,0.987,8.19025750352126e-198,"1","FTH1"
1.90741839249579e-196,2.04823556220168,0.94,0.228,2.61583358346873e-192,"1","FCER1G"
3.56384123688655e-186,2.35959451834297,0.944,0.428,4.88745187226622e-182,"1","CTSS"
1.7283068896002e-183,2.93501937529616,0.712,0.113,2.37020006839772e-179,"1","CD68"
9.89072926656472e-182,3.27400124604719,0.696,0.119,1.35641461161669e-177,"1","CEBPD"
1.57025752250796e-179,1.70358910770504,1,0.771,2.15345116636742e-175,"1","S100A4"
1.12215736191221e-176,3.13725201903734,0.718,0.141,1.53892660612641e-172,"1","LGALS3"
8.26876493198607e-175,2.99751645528754,0.768,0.193,1.13397842277257e-170,"1","AP1S2"
2.72208147257607e-174,2.52928630185817,0.88,0.315,3.73306253149082e-170,"1","NPC2"
1.90302454435176e-171,1.47761023037944,0.996,0.893,2.609807860124e-167,"1","OAZ1"
4.89946290101404e-171,3.96653203806498,0.547,0.057,6.71912342245066e-167,"1","CDA"
4.97163168833019e-169,2.07681354823208,0.95,0.432,6.81809569737602e-165,"1","S100A11"
1.43938670940182e-168,2.15503263315132,0.923,0.417,1.97397493327366e-164,"1","PSAP"
3.76781395381426e-165,3.0233534282559,0.65,0.109,5.16718005626088e-161,"1","CFP"
7.57884961678674e-165,3.63104215749087,0.592,0.083,1.03936343644613e-160,"1","NCF2"
3.7889431653714e-164,2.04438026184844,0.967,0.507,5.19615665699034e-160,"1","SAT1"
2.54336856781322e-158,2.53216859930966,0.714,0.142,3.48797565389905e-154,"1","SERPINA1"
1.04096399158727e-157,1.79689050414132,0.973,0.553,1.42757801806278e-153,"1","COTL1"
2.25399172732404e-157,3.65229412552873,0.553,0.074,3.09112425485218e-153,"1","BLVRB"
3.32763964403708e-157,4.38841906365164,0.462,0.039,4.56352500783245e-153,"1","CSF3R"
2.20219939337312e-150,3.70416277323257,0.513,0.062,3.0200962480719e-146,"1","NUP214"
9.91636287269991e-150,5.67525178786774,0.369,0.015,1.35993000436207e-145,"1","ASGR1"
1.1592058411845e-147,2.12443271364408,0.876,0.403,1.58973489060042e-143,"1","GABARAP"
7.77148678452998e-147,3.8238216008517,0.441,0.038,1.06578169763044e-142,"1","ALDH2"
2.35279258606324e-146,2.8433279932494,0.559,0.077,3.22661975252713e-142,"1","IFI30"
2.97555211161614e-145,3.08601708039722,0.652,0.14,4.08067216587038e-141,"1","FCGRT"
6.42653369336034e-144,4.1297077304367,0.431,0.037,8.81334830707437e-140,"1","FPR1"
2.04039146511608e-143,1.35640742909034,0.99,0.815,2.79819285526019e-139,"1","CYBA"
3.0082882515688e-139,2.09628115698742,0.81,0.273,4.12556650820145e-135,"1","PYCARD"
1.81301038612669e-138,2.30786590352173,0.783,0.255,2.48636244353414e-134,"1","TKT"
3.64353264978115e-138,7.27351727848811,0.298,0.004,4.99674067590987e-134,"1","FOLR3"
2.64344079304868e-137,2.55926213919458,0.634,0.12,3.62521470358696e-133,"1","SPI1"
3.75219691118642e-131,2.09287462988974,0.853,0.348,5.14576284400106e-127,"1","RAC1"
4.5216547412053e-129,3.40342276349155,0.474,0.062,6.20099731208895e-125,"1","SLC7A7"
7.20335540057133e-129,2.14380396530769,0.849,0.395,9.87868159634352e-125,"1","TSPO"
3.58685058445018e-126,4.99529351115031,0.313,0.013,4.91900689151497e-122,"1","RBP7"
7.91748622277211e-126,2.6902427835407,0.59,0.119,1.08580406059097e-121,"1","BRI3"
2.66334099598979e-123,3.46059941892512,0.509,0.084,3.6525058419004e-119,"1","TNFSF13B"
1.44843985745028e-120,6.73040536687522,0.275,0.006,1.98639042050731e-116,"1","S100A12"
1.94438342299517e-120,2.23603174075572,0.625,0.136,2.66652742629557e-116,"1","IFITM3"
